name,set_name,rarity,primary_type,cmc,usd_price,edhrec_rank,legal_formats_count,value_score,reserved,game_changer,reprint
"Sheoldred, the Apocalypse",Dominaria United,mythic,Creature,4.0,74.27,458.0,11,76.5,0,0,0
Vivi Ornitier,Final Fantasy,mythic,Creature,3.0,28.65,1486.0,11,76.5,0,0,0
"Bristly Bill, Spine Sower",Outlaws of Thunder Junction,mythic,Creature,2.0,45.1,882.0,14,76.0,0,0,0
Twinflame Tyrant,Foundations,mythic,Creature,5.0,20.09,937.0,16,76.0,0,0,0
Eriette of the Charmed Apple,Wilds of Eldraine,mythic,Creature,3.0,5.95,4589.0,15,76.0,0,0,0
"Uthros, Titanic Godcore",Edge of Eternities,mythic,Land,0.0,10.24,1825.0,15,76.0,0,0,0
Underground Mortuary,Murders at Karlov Manor,rare,Land,0.0,14.68,473.0,14,76.0,0,0,0
"Kaito, Cunning Infiltrator",Foundations,mythic,Planeswalker,3.0,2.35,4515.0,16,76.0,0,0,0
Bloodthirsty Conqueror,Foundations,mythic,Creature,5.0,30.37,999.0,16,76.0,0,0,0
Gemstone Caverns,Time Spiral Remastered,mythic,Land,0.0,44.28,178.0,11,75.5,0,0,1
Palantír of Orthanc,The Lord of the Rings: Tales of Middle-earth,mythic,Artifact,3.0,20.28,1338.0,11,75.5,0,0,0
Doubling Season,Teenage Mutant Ninja Turtles Source Material,mythic,Enchantment,5.0,28.85,207.0,17,75.0,0,0,1
Mox Amber,Dominaria,mythic,Artifact,0.0,70.62,209.0,10,75.0,0,0,0
Craterhoof Behemoth,Secret Lair Drop,mythic,Creature,8.0,16.12,339.0,15,75.0,0,0,1
"Elspeth, Storm Slayer",Tarkir: Dragonstorm Promos,mythic,Planeswalker,5.0,37.8,924.0,15,75.0,0,0,1
"Hugs, Grisly Guardian",Bloomburrow,mythic,Creature,4.0,0.62,4796.0,16,75.0,0,0,0
"Anzrag, the Quake-Mole",Murders at Karlov Manor,mythic,Creature,4.0,5.93,2685.0,15,75.0,0,0,0
"Glarb, Calamity's Augur",Bloomburrow,mythic,Creature,3.0,4.02,3679.0,15,75.0,0,0,0
"Calix, Guided by Fate",March of the Machine: The Aftermath,mythic,Creature,3.0,12.37,3375.0,12,75.0,0,0,0
All-Out Assault,Tarkir: Dragonstorm,mythic,Enchantment,5.0,3.71,3950.0,15,75.0,0,0,0
"Kaito, Bane of Nightmares",Duskmourn: House of Horror Promos,mythic,Planeswalker,4.0,18.62,5048.0,15,75.0,0,0,0
Phyrexian Tower,Modern Horizons 3,mythic,Land,0.0,23.89,208.0,12,75.0,0,0,1
"Vorinclex, Monstrous Raider",Kaldheim,mythic,Creature,6.0,30.45,1176.0,11,74.5,0,0,0
Beast Within,Marvel Universe,mythic,Instant,3.0,4.97,24.0,11,74.5,0,0,1
Bloom Tender,Lorwyn Eclipsed,mythic,Creature,2.0,12.21,280.0,17,74.0,0,0,1
Elspeth Resplendent,Streets of New Capenna,mythic,Planeswalker,5.0,4.5,4984.0,12,74.0,0,0,0
"Ral, Crackling Wit",Bloomburrow Promos,mythic,Planeswalker,4.0,11.56,2258.0,15,74.0,0,0,1
Temple Garden,Lorwyn Eclipsed,rare,Land,0.0,7.16,82.0,17,74.0,0,0,1
"Lolth, Spider Queen",Adventures in the Forgotten Realms,mythic,Planeswalker,5.0,4.67,3870.0,12,74.0,0,0,0
Breeding Pool,Edge of Eternities Promos,rare,Land,0.0,12.09,63.0,16,74.0,0,0,1
"Ojer Axonil, Deepest Might // Temple of Power",The Lost Caverns of Ixalan,mythic,Creature,4.0,26.87,1414.0,14,74.0,0,0,0
"Ojer Taq, Deepest Foundation // Temple of Civilization",The Lost Caverns of Ixalan,mythic,Creature,6.0,31.45,778.0,14,74.0,0,0,0
Dragonskull Summit,Teenage Mutant Ninja Turtles Eternal,rare,Land,0.0,0.44,88.0,14,74.0,0,0,1
Overlord of the Balemurk,Duskmourn: House of Horror Promos,mythic,Creature,5.0,22.09,2348.0,15,74.0,0,0,0
"Eluge, the Shoreless Sea",Bloomburrow,mythic,Creature,4.0,2.88,3117.0,16,74.0,0,0,0
Steam Vents,Lorwyn Eclipsed,rare,Land,0.0,10.3,68.0,16,74.0,0,0,1
Sacred Foundry,Edge of Eternities Promos,rare,Land,0.0,10.32,79.0,16,74.0,0,0,1
Overgrown Tomb,Lorwyn Eclipsed Promos,rare,Land,0.0,8.17,73.0,17,74.0,0,0,1
Blood Crypt,Return to Ravnica,rare,Land,0.0,9.22,72.0,16,74.0,0,0,1
Watery Grave,Guilds of Ravnica,rare,Land,0.0,11.72,52.0,16,74.0,0,0,1
Stomping Ground,Edge of Eternities Promos,rare,Land,0.0,8.66,67.0,16,74.0,0,0,1
"Aurelia, the Warleader",Foundations,mythic,Creature,6.0,7.21,828.0,16,74.0,0,0,1
Hallowed Fountain,Lorwyn Eclipsed,rare,Land,0.0,6.82,65.0,16,74.0,0,0,1
"Gisa, the Hellraiser",Outlaws of Thunder Junction,mythic,Creature,5.0,5.32,3010.0,15,74.0,0,0,0
"Urborg, Tomb of Yawgmoth",Planar Chaos,rare,Land,0.0,54.07,71.0,12,74.0,0,0,0
Smothering Tithe,Ravnica Allegiance Promos,rare,Enchantment,4.0,51.34,59.0,12,74.0,0,1,1
"Chandra, Hope's Beacon",March of the Machine,mythic,Planeswalker,6.0,1.95,3939.0,12,74.0,0,0,0
"Phenax, God of Deception",Born of the Gods,mythic,Creature,5.0,16.62,4846.0,12,74.0,0,0,0
"Athreos, God of Passage",Journey into Nyx,mythic,Creature,3.0,14.98,2780.0,12,74.0,0,0,0
"Dragonhawk, Fate's Tempest",Bloomburrow,mythic,Creature,5.0,5.86,2300.0,15,74.0,0,0,0
"Atraxa, Grand Unifier",Phyrexia: All Will Be One,mythic,Creature,7.0,15.07,3421.0,11,73.5,0,0,0
"Solphim, Mayhem Dominus",Phyrexia: All Will Be One Promos,mythic,Creature,4.0,23.93,862.0,11,73.5,0,0,0
Sulfur Falls,Edge of Eternities Commander,rare,Land,0.0,0.34,85.0,13,73.5,0,0,1
Clifftop Retreat,Secrets of Strixhaven Commander,rare,Land,0.0,0.87,86.0,13,73.5,0,0,1
Chromatic Orrery,Core Set 2021,mythic,Artifact,7.0,31.04,1194.0,11,73.5,0,0,0
Isolated Chapel,Secrets of Strixhaven Commander,rare,Land,0.0,0.97,97.0,13,73.5,0,0,1
The Great Henge,Avatar: The Last Airbender Eternal,mythic,Artifact,9.0,58.06,235.0,11,73.5,0,0,1
Badgermole Cub,Avatar: The Last Airbender,mythic,Creature,2.0,52.14,1917.0,15,73.0,0,0,0
"Iroas, God of Victory",Commander 2016,mythic,Creature,4.0,14.29,1482.0,12,73.0,0,0,1
Kaya the Inexorable,Kaldheim,mythic,Planeswalker,5.0,3.08,5659.0,12,73.0,0,0,0
Mistrise Village,Tarkir: Dragonstorm,rare,Land,0.0,6.49,485.0,15,73.0,0,0,0
"Beza, the Bounding Spring",Bloomburrow,mythic,Creature,4.0,5.7,4142.0,15,73.0,0,0,0
Sliver Hivelord,Magic 2015,mythic,Creature,5.0,17.14,3674.0,12,73.0,0,0,0
"Wan Shi Tong, Librarian",Avatar: The Last Airbender,mythic,Creature,2.0,43.23,1854.0,15,73.0,0,0,0
"Appa, Steadfast Guardian",Avatar: The Last Airbender,mythic,Creature,4.0,7.97,3843.0,15,73.0,0,0,0
Final Showdown,Outlaws of Thunder Junction,mythic,Instant,1.0,4.32,2037.0,14,73.0,0,0,0
"Ajani, Mentor of Heroes",Journey into Nyx,mythic,Planeswalker,5.0,4.41,7993.0,12,73.0,0,0,0
Summon: Knights of Round,Final Fantasy,mythic,Creature,8.0,13.17,2642.0,15,73.0,0,0,0
Summon: Bahamut,Final Fantasy,mythic,Creature,9.0,18.85,1622.0,15,73.0,0,0,0
Narset Transcendent,Dragons of Tarkir,mythic,Planeswalker,4.0,9.98,7753.0,12,73.0,0,0,0
Sun Titan,Tarkir: Dragonstorm Commander,mythic,Creature,6.0,0.3,282.0,12,73.0,0,0,1
Blossoming Tortoise,Wilds of Eldraine,mythic,Creature,4.0,6.71,2972.0,14,73.0,0,0,0
"Nicol Bolas, God-Pharaoh",Hour of Devastation,mythic,Planeswalker,7.0,2.97,5513.0,12,73.0,0,0,0
Assimilation Aegis,Outlaws of Thunder Junction,mythic,Artifact,3.0,0.39,9574.0,14,73.0,0,0,0
"Tezzeret, Artifice Master",Core Set 2019,mythic,Planeswalker,5.0,4.35,4086.0,12,73.0,0,0,0
Traveling Chocobo,Final Fantasy,mythic,Creature,3.0,17.24,2233.0,15,73.0,0,0,0
"Ob Nixilis, Captive Kingpin",March of the Machine: The Aftermath,mythic,Creature,4.0,18.86,4320.0,12,73.0,0,0,0
"Cloud, Midgar Mercenary",Final Fantasy,mythic,Creature,2.0,20.26,2011.0,15,73.0,0,0,0
"Angrath, the Flame-Chained",Rivals of Ixalan,mythic,Planeswalker,5.0,4.31,9400.0,12,73.0,0,0,0
Chronicle of Victory,Lorwyn Eclipsed,mythic,Artifact,6.0,19.05,2677.0,15,73.0,0,0,0
Saheeli Rai,Kaladesh,mythic,Planeswalker,3.0,1.27,7065.0,12,73.0,0,0,0
"Nissa, Vital Force",Kaladesh,mythic,Planeswalker,5.0,3.52,4389.0,12,73.0,0,0,0
"Sorin, Grim Nemesis",Shadows over Innistrad,mythic,Planeswalker,6.0,3.44,9030.0,12,73.0,0,0,0
"Kasmina, Enigma Sage",Strixhaven: School of Mages,mythic,Planeswalker,3.0,1.12,11976.0,12,73.0,0,0,0
Tiamat,Adventures in the Forgotten Realms,mythic,Creature,7.0,21.3,2907.0,12,73.0,0,0,0
"Ashiok, Nightmare Muse",Theros Beyond Death,mythic,Planeswalker,5.0,5.07,6816.0,12,73.0,0,0,0
Generous Plunderer,The Big Score,mythic,Creature,2.0,12.31,2162.0,15,73.0,0,0,0
"Kinnan, Bonder Prodigy",Final Fantasy: Through the Ages,mythic,Creature,2.0,12.54,1351.0,12,73.0,0,0,1
"Ajani, Strength of the Pride",Core Set 2020,mythic,Planeswalker,4.0,9.87,3123.0,11,72.5,0,0,0
Raffine's Tower,Streets of New Capenna,rare,Land,0.0,13.74,411.0,11,72.5,0,0,0
"Nissa, Ascended Animist",Phyrexia: All Will Be One,mythic,Planeswalker,7.0,1.52,3395.0,11,72.5,0,0,0
Zagoth Triome,Ikoria: Lair of Behemoths,rare,Land,0.0,25.04,393.0,11,72.5,0,0,0
"Sauron, the Dark Lord",The Lord of the Rings: Tales of Middle-earth,mythic,Creature,6.0,20.77,3341.0,11,72.5,0,0,0
Shadowspear,Teenage Mutant Ninja Turtles Source Material,mythic,Artifact,1.0,20.07,330.0,11,72.5,0,0,1
Wrenn and Realmbreaker,March of the Machine Promos,mythic,Planeswalker,3.0,6.29,2530.0,11,72.5,0,0,0
"Ulamog, the Ceaseless Hunger",Battle for Zendikar,mythic,Creature,10.0,19.74,1255.0,11,72.5,0,0,0
Jetmir's Garden,Streets of New Capenna,rare,Land,0.0,16.76,346.0,11,72.5,0,0,0
"Aragorn, the Uniter",The Lord of the Rings: Tales of Middle-earth,mythic,Creature,4.0,5.72,3277.0,11,72.5,0,0,0
"Teferi, Master of Time",Core Set 2021,mythic,Planeswalker,4.0,7.1,2088.0,11,72.5,0,0,0
"Teferi, Temporal Pilgrim",The Brothers' War,mythic,Planeswalker,5.0,3.99,3154.0,11,72.5,0,0,0
Raugrin Triome,Ikoria: Lair of Behemoths,rare,Land,0.0,16.46,486.0,11,72.5,0,0,0
Dark Leo & Shredder,Teenage Mutant Ninja Turtles,mythic,Creature,2.0,11.53,10844.0,15,72.0,0,0,0
Raucous Theater,Murders at Karlov Manor,rare,Land,0.0,10.91,556.0,14,72.0,0,0,0
Gaea's Cradle,Urza's Saga,rare,Land,0.0,1327.93,462.0,6,72.0,1,1,0
"Ashiok, Wicked Manipulator",Wilds of Eldraine,mythic,Planeswalker,5.0,0.58,13324.0,15,72.0,0,0,0
Thundering Falls,Murders at Karlov Manor,rare,Land,0.0,15.33,635.0,14,72.0,0,0,0
Inventors' Fair,Kaladesh,rare,Land,0.0,14.56,281.0,12,72.0,0,0,0
Goldvein Hydra,Outlaws of Thunder Junction,mythic,Creature,1.0,8.1,1564.0,14,72.0,0,0,0
"Toxrill, the Corrosive",Innistrad: Crimson Vow,mythic,Creature,7.0,15.3,2288.0,12,72.0,0,0,0
Commercial District,Murders at Karlov Manor,rare,Land,0.0,7.98,637.0,14,72.0,0,0,0
"Delney, Streetwise Lookout",Murders at Karlov Manor Promos,mythic,Creature,3.0,37.11,850.0,14,72.0,0,0,1
Lush Portico,Murders at Karlov Manor,rare,Land,0.0,6.48,699.0,14,72.0,0,0,0
Aettir and Priwen,Final Fantasy,mythic,Artifact,6.0,6.57,3732.0,16,72.0,0,0,0
Misty Rainforest,Zendikar,rare,Land,0.0,30.6,42.0,10,72.0,0,0,0
Hedge Maze,Murders at Karlov Manor,rare,Land,0.0,11.72,539.0,14,72.0,0,0,0
Elegant Parlor,Murders at Karlov Manor,rare,Land,0.0,9.63,787.0,14,72.0,0,0,0
Bitterbloom Bearer,Lorwyn Eclipsed,mythic,Creature,2.0,14.63,3322.0,15,72.0,0,0,0
Molten Duplication,The Big Score,mythic,Sorcery,2.0,12.04,1614.0,15,72.0,0,0,0
Cinder Glade,Teenage Mutant Ninja Turtles Eternal,rare,Land,0.0,0.67,84.0,12,72.0,0,0,1
Bonehoard Dracosaur,The Lost Caverns of Ixalan Promos,mythic,Creature,5.0,13.18,1306.0,14,72.0,0,0,1
Relentless Dead,Shadows over Innistrad,mythic,Creature,2.0,13.25,4894.0,12,72.0,0,0,0
Terror of the Peaks,Outlaws of Thunder Junction Promos,mythic,Creature,5.0,27.58,510.0,14,72.0,0,0,1
Smoldering Marsh,Teenage Mutant Ninja Turtles Eternal,rare,Land,0.0,0.36,93.0,12,72.0,0,0,1
Fabled Passage,Secrets of Strixhaven Commander,rare,Land,0.0,3.52,60.0,15,72.0,0,0,1
"Chandra, Spark Hunter",Aetherdrift,mythic,Planeswalker,4.0,3.43,7049.0,15,72.0,0,0,0
Hylda of the Icy Crown,Wilds of Eldraine,mythic,Creature,4.0,3.51,6398.0,15,72.0,0,0,0
Sunken Hollow,Teenage Mutant Ninja Turtles Eternal,rare,Land,0.0,0.35,83.0,12,72.0,0,0,1
"Huatli, Warrior Poet",Ixalan,mythic,Planeswalker,5.0,3.11,11962.0,12,72.0,0,0,0
"Kiora, the Crashing Wave",Born of the Gods,mythic,Planeswalker,4.0,1.52,7356.0,12,72.0,0,0,0
"Vraska, Relic Seeker",Ixalan,mythic,Planeswalker,6.0,1.37,8065.0,12,72.0,0,0,0
Verdant Catacombs,Zendikar,rare,Land,0.0,27.92,47.0,10,72.0,0,0,0
Shadowy Backstreet,Murders at Karlov Manor,rare,Land,0.0,11.27,560.0,14,72.0,0,0,0
Meticulous Archive,Murders at Karlov Manor,rare,Land,0.0,12.68,702.0,14,72.0,0,0,0
Last March of the Ents,The Lord of the Rings: Tales of Middle-earth,mythic,Sorcery,8.0,31.61,935.0,11,71.5,0,0,0
Finale of Devastation,War of the Spark Promos,mythic,Sorcery,2.0,32.86,329.0,11,71.5,0,0,1
"Ob Nixilis, the Adversary",Streets of New Capenna,mythic,Planeswalker,3.0,1.55,7580.0,11,71.5,0,0,0
All Will Be One,Phyrexia: All Will Be One,mythic,Enchantment,5.0,26.95,1402.0,11,71.5,0,0,0
Moonshaker Cavalry,Secrets of Strixhaven Commander,mythic,Creature,8.0,11.93,1292.0,15,71.0,0,0,1
Temple of Plenty,Murders at Karlov Manor Commander,rare,Land,0.0,0.28,466.0,16,71.0,0,0,1
Roaming Throne,The Lost Caverns of Ixalan,rare,Creature,4.0,48.07,130.0,15,71.0,0,0,0
Force of Negation,Avatar: The Last Airbender Eternal,mythic,Instant,3.0,42.03,262.0,10,71.0,0,0,1
"Karn, Legacy Reforged",March of the Machine: The Aftermath,mythic,Creature,5.0,14.45,2531.0,12,71.0,0,0,0
"Ghired, Mirror of the Wilds",Outlaws of Thunder Junction,mythic,Creature,3.0,0.42,8674.0,15,71.0,0,0,0
Gloomlake Verge,Duskmourn: House of Horror,rare,Land,0.0,11.17,673.0,15,71.0,0,0,0
Temple of Silence,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.28,272.0,16,71.0,0,0,1
Hushwood Verge,Duskmourn: House of Horror,rare,Land,0.0,6.27,793.0,15,71.0,0,0,0
"Garruk, Cursed Huntsman",Bloomburrow Commander,mythic,Planeswalker,6.0,1.14,3697.0,12,71.0,0,0,1
"Teferi, Hero of Dominaria",Mystery Booster 2,mythic,Planeswalker,5.0,3.13,4244.0,12,71.0,0,0,1
Dawn's Truce,Bloomburrow,rare,Instant,2.0,6.71,388.0,16,71.0,0,0,0
Sunbillow Verge,Aetherdrift,rare,Land,0.0,12.12,1058.0,15,71.0,0,0,0
The Walls of Ba Sing Se,Avatar: The Last Airbender,mythic,Creature,8.0,26.59,2899.0,16,71.0,0,0,0
"Erebos, God of the Dead",Theros,mythic,Creature,4.0,13.18,2827.0,12,71.0,0,0,0
"Drivnod, Carnage Dominus",Phyrexia: All Will Be One,mythic,Creature,5.0,6.83,1699.0,12,71.0,0,0,0
Angel of Destiny,Zendikar Rising,mythic,Creature,5.0,10.07,2790.0,12,71.0,0,0,0
Temple of Mystery,Murders at Karlov Manor Commander,rare,Land,0.0,0.29,294.0,16,71.0,0,0,1
Temple of Epiphany,Edge of Eternities Commander,rare,Land,0.0,0.29,266.0,16,71.0,0,0,1
"Oko, Lorwyn Liege // Oko, Shadowmoor Scion",Lorwyn Eclipsed,mythic,Planeswalker,3.0,1.33,14882.0,15,71.0,0,0,0
Floodfarm Verge,Duskmourn: House of Horror,rare,Land,0.0,7.85,738.0,15,71.0,0,0,0
Temple of Enlightenment,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.31,296.0,16,71.0,0,0,1
Bloodletter of Aclazotz,Secret Lair Drop,mythic,Creature,4.0,25.82,811.0,14,71.0,0,0,1
"Maha, Its Feathers Night",Bloomburrow,mythic,Creature,5.0,24.45,1983.0,16,71.0,0,0,0
"Tezzeret, Cruel Captain",Edge of Eternities Promos,mythic,Planeswalker,3.0,19.57,1681.0,15,71.0,0,0,1
Temple of Triumph,Secrets of Strixhaven Commander,rare,Land,0.0,0.62,287.0,16,71.0,0,0,1
Temple of Malady,Secrets of Strixhaven Commander,rare,Land,0.0,0.9,345.0,16,71.0,0,0,1
Sword of Feast and Famine,Assassin's Creed,mythic,Artifact,3.0,32.11,538.0,12,71.0,0,0,1
Starfield of Nyx,Magic Origins,mythic,Enchantment,5.0,15.55,2146.0,12,71.0,0,0,0
"Ashiok, Sculptor of Fears",Theros Beyond Death,mythic,Planeswalker,6.0,1.86,11290.0,12,71.0,0,0,0
"Ugin, Eye of the Storms",Tarkir: Dragonstorm Promos,mythic,Planeswalker,7.0,35.66,2149.0,15,71.0,0,0,1
Temple of Deceit,Duskmourn: House of Horror Commander,rare,Land,0.0,0.33,311.0,16,71.0,0,0,1
Sword of Fire and Ice,Special Guests,mythic,Artifact,3.0,42.43,1403.0,12,71.0,0,0,1
Blazemire Verge,Duskmourn: House of Horror,rare,Land,0.0,9.06,586.0,15,71.0,0,0,0
Fomori Vault,The Big Score Promos,mythic,Land,0.0,7.73,1615.0,15,71.0,0,0,1
"Esika, God of the Tree // The Prismatic Bridge",Kaldheim,mythic,Creature,3.0,15.24,2468.0,12,71.0,0,0,0
Temple of Abandon,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.26,467.0,16,71.0,0,0,1
Sire of Seven Deaths,Foundations,mythic,Creature,7.0,18.36,2395.0,15,71.0,0,0,0
Temple of Malice,Duskmourn: House of Horror Commander,rare,Land,0.0,0.37,399.0,16,71.0,0,0,1
"Teferi, Who Slows the Sunset",Innistrad: Midnight Hunt Promos,mythic,Planeswalker,4.0,4.0,4405.0,11,70.5,0,0,1
"Ashling, Flame Dancer",Modern Horizons 3,mythic,Creature,4.0,5.98,1616.0,11,70.5,0,0,0
Parallel Lives,Marvel Universe,mythic,Enchantment,4.0,24.15,410.0,11,70.5,0,0,1
Sarkhan Unbroken,Dragons of Tarkir,mythic,Planeswalker,5.0,21.19,5903.0,11,70.5,0,0,0
Awaken the Woods,The Brothers' War,mythic,Sorcery,2.0,23.11,1410.0,11,70.5,0,0,0
"Ashiok, Nightmare Weaver",Theros,mythic,Planeswalker,3.0,1.49,11173.0,11,70.5,0,0,0
Ichormoon Gauntlet,Phyrexia: All Will Be One,mythic,Artifact,3.0,5.4,2860.0,11,70.5,0,0,0
"Nykthos, Shrine to Nyx",Theros,rare,Land,0.0,52.44,169.0,11,70.5,0,0,0
"Chandra, Torch of Defiance",Signature Spellbook: Chandra,mythic,Planeswalker,4.0,2.35,1439.0,11,70.5,0,0,1
"Andúril, Flame of the West",The Lord of the Rings: Tales of Middle-earth,mythic,Artifact,3.0,5.42,3302.0,11,70.5,0,0,0
Caves of Koilos,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.99,124.0,14,70.0,0,0,1
Quintorius Kand,The Lost Caverns of Ixalan Promos,mythic,Planeswalker,5.0,1.16,5388.0,15,70.0,0,0,1
"Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel",Final Fantasy,mythic,Creature,3.0,30.24,1566.0,15,70.0,0,0,0
Hauntwoods Shrieker,Duskmourn: House of Horror,mythic,Creature,3.0,0.73,5841.0,16,70.0,0,0,0
Sunpetal Grove,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.67,135.0,14,70.0,0,0,1
Abhorrent Oculus,Duskmourn: House of Horror,mythic,Creature,3.0,11.91,5815.0,15,70.0,0,0,0
Llanowar Wastes,Secrets of Strixhaven Commander,rare,Land,0.0,0.9,145.0,14,70.0,0,0,1
"Kaalia, Zenith Seeker",Core Set 2020,mythic,Creature,3.0,11.91,6626.0,12,70.0,0,0,0
The Aetherspark,Aetherdrift Promos,mythic,Artifact,4.0,18.63,2200.0,15,70.0,0,0,1
Sulfurous Springs,Edge of Eternities Commander,rare,Land,0.0,1.4,159.0,14,70.0,0,0,1
Rootbound Crag,Teenage Mutant Ninja Turtles Eternal,rare,Land,0.0,0.34,131.0,14,70.0,0,0,1
Ajani Steadfast,Magic 2015,mythic,Planeswalker,4.0,4.07,5098.0,12,70.0,0,0,0
Shivan Reef,Edge of Eternities Commander,rare,Land,0.0,0.35,122.0,14,70.0,0,0,1
Yavimaya Coast,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.36,134.0,14,70.0,0,0,1
"Purphoros, God of the Forge",The List,mythic,Creature,4.0,25.9,646.0,12,70.0,0,0,1
Alrund's Epiphany,Kaldheim,mythic,Sorcery,7.0,3.53,4414.0,12,70.0,0,0,0
"Arcades, the Strategist",Core Set 2019,mythic,Creature,4.0,3.35,5753.0,12,70.0,0,0,0
Drowned Catacomb,Outlaws of Thunder Junction Commander,rare,Land,0.0,3.33,112.0,14,70.0,0,0,1
Glacial Fortress,Edge of Eternities Commander,rare,Land,0.0,0.34,102.0,14,70.0,0,0,1
Consecrated Sphinx,Secret Lair Drop,mythic,Creature,6.0,28.85,650.0,8,70.0,0,1,1
"Thassa, Deep-Dwelling",Theros Beyond Death Promos,mythic,Creature,4.0,29.21,1213.0,12,70.0,0,0,1
Akroma's Memorial,Time Spiral Remastered,mythic,Artifact,7.0,32.89,1217.0,12,70.0,0,0,1
"Ghalta, Stampede Tyrant",The Lost Caverns of Ixalan Promos,mythic,Creature,8.0,22.38,1037.0,14,70.0,0,0,1
Void Winnower,Battle for Zendikar,mythic,Creature,9.0,22.02,1600.0,12,70.0,0,0,0
Gideon of the Trials,Amonkhet,mythic,Planeswalker,3.0,2.24,10470.0,12,70.0,0,0,0
Battlefield Forge,Ninth Edition,rare,Land,0.0,4.01,123.0,14,70.0,0,0,1
"Aclazotz, Deepest Betrayal // Temple of the Dead",The Lost Caverns of Ixalan,mythic,Creature,5.0,8.52,2484.0,14,70.0,0,0,0
Kodama of the West Tree,Foundations Jumpstart,mythic,Creature,3.0,18.31,805.0,12,70.0,0,0,1
Ancient Greenwarden,Outlaws of Thunder Junction Commander,mythic,Creature,6.0,13.43,648.0,12,70.0,0,0,1
Basri Ket,Core Set 2021,mythic,Planeswalker,3.0,1.26,6440.0,12,70.0,0,0,0
"Razaketh, the Foulblooded",Hour of Devastation,mythic,Creature,8.0,13.25,1793.0,12,70.0,0,0,0
"Liliana, Waker of the Dead",Core Set 2021,mythic,Planeswalker,4.0,2.4,5525.0,12,70.0,0,0,0
Orcish Bowmasters,The Lord of the Rings: Tales of Middle-earth,rare,Creature,2.0,44.91,251.0,8,70.0,0,1,0
"Ulamog, the Infinite Gyre",Modern Masters 2015,mythic,Creature,11.0,33.31,1284.0,12,70.0,0,0,1
Ocelot Pride,Modern Horizons 3,mythic,Creature,1.0,37.3,1157.0,8,70.0,0,0,0
"Ashaya, Soul of the Wild",Duskmourn: House of Horror Commander,mythic,Creature,5.0,16.31,794.0,12,70.0,0,0,1
Grand Abolisher,Magic 2012,rare,Creature,2.0,14.49,248.0,15,70.0,0,0,0
"Zariel, Archduke of Avernus",Adventures in the Forgotten Realms,mythic,Planeswalker,4.0,2.46,5958.0,12,70.0,0,0,0
"Ojer Kaslem, Deepest Growth // Temple of Cultivation",The Lost Caverns of Ixalan,mythic,Creature,5.0,6.06,1858.0,15,70.0,0,0,0
